artist,title,lyrics,description,release date
Carpenters,Top of the World,"Top of the World Lyrics

Such a feeling's coming over me
There is wonder in most everything I see
Not a cloud in the sky, got the sun in my eyes
And I won't be surprised if it's a dream
Everything I want the world to be
Is now coming true especially for me
And the reason is clear, it's because you are here/near
You're the nearest thing to heaven that I've seen

I'm on the top of the world looking down on creation
And the only explanation I can find
Is the love that I've found ever since you've been around
Your love's put me at the top of the world

Something in the wind has learned my name
And it's telling me that things are not the same
In the leaves on the trees and the touch of the breeze
There's a pleasing sense of happiness for me
There is only one wish on my mind
When this day is through I hope that I will find
That tomorrow will be just the same for you and me
All I need will be mine if you are here
I'm on the top of the world looking down on creation
And the only explanation I can find
Is the love that I've found ever since you've been around
Your love's put me at the top of the world
I'm on the top of the world looking down on creation
And the only explanation I can find
Is the love that I've found ever since you've been around
Your love's put me at the top of the world12Embed","When the song topped the charts in 1973, the Carpenters were indeed “on the top of the world”; that lasted until the early 80’s when Richard Carpenter had to be treated intensively for Quaalude addiction and Karen passed away in 1983 due to Anorexia Nervosa.","June 22, 1972"
Carpenters,Yesterday Once More,"Yesterday Once More Lyrics
When I was young, I'd listen to the radio
Waitin' for my favorite songs
When they played, I'd sing along
It made me smile

Those were such happy times
And not so long ago
How I wondered where they'd gone
But they're back again
Just like a long-lost friend
All the songs I loved so well

Every ""sha-la-la-la""
Every ""whoa, whoa-oh"" still shines
Every ""shing-a-ling-a-ling""
That they're starting to sing so fine
When they get to the part
Where he's breaking her heart
It can really make me cry
Just like before, it's yesterday once more
(Shoobie-doo, lang, lang)
(Shoobie-doo, lang, lang)
Lookin' back on how it was in years gone by
And the good times that I had
Makes today seem rather sad
So much has changed

It was songs of love
That I would sing to them
And I'd memorize each word
Those old melodies
Still sound so good to me
As they melt the years away

Every ""sha-la-la-la""
Every ""whoa, whoa-oh"" still shines
(Only oldies, but goodies)
Every ""shing-a-ling-a-ling""
That they're starting to sing so fine
All my best memories
Come back clearly to me
Some can even make me cry
Just like before, it's yesterday once more
(Shoobie-doo, lang, lang)
Every ""sha-la-la-la""
Every ""whoa, whoa-oh"" still shines
Every ""shing-a-ling-a-ling""
That they're starting to sing so fine
Every ""sha-la-la-la""
Every ""whoa, whoa-oh"" still shines
Every ""shing-a-ling-a-ling""
That they're starting to sing so fine...4Embed","“Yesterday Once More” was a single from Carpenters album Now & Then.

The song peaked at #2 on the Billboard Hot 100 and topped Billboard’s Adult Contemporary chart for three weeks in July of 1973. Overseas, it reached #2 in the UK and was a top 10 hit in Belgium, Norway & The Netherlands.","June 2, 1973"
Carpenters,Superstar,"Superstar Lyrics
Long ago and oh so far away
I fell in love with you
Before the second show
Your guitar, it sounds so sweet and clear
But you're not really here
It's just the radio

Don't you remember you told me you loved me baby
You said you'd be coming back this way again baby
Baby, baby, baby, baby, oh, baby
I love you, I really do

Loneliness is a such a sad affair
And I can hardly wait to be with you again
What to say to make you come again (Ooo baby)
Come back to me again (Ooo baby)
And play your sad guitar (Ooo)

Don't you remember you told me you loved me baby
You said you'd be coming back this way again baby
Baby, baby, baby, baby, oh, baby
I love you, I really do
Don't you remember you told me you loved me baby
You said you'd be coming back this way again baby
Baby, baby, baby, baby, oh, baby
I love you, I really do2Embed","Originally recorded by Delaney & Bonnie (the latter of whom wrote the song with Leon Russell), this song about a groupie who fell in love with a rockstar attracted Richard Carpenter’s attention through a Bette Midler version on television. It became the most proeminent version of “Superstar”, inspiring covers by Luther Vandross and Sonic Youth, among others.","May 14, 1971"
Carpenters,We’ve Only Just Begun,"We’ve Only Just Begun Lyrics
We've only just begun to live
White lace and promises
A kiss for luck and we're on our way
We've only begun
Before the rising sun, we fly
So many roads to choose
We'll start out walking and learn to run
And yes, we've just begun

Sharing horizons that are new to us
Watching the signs along the way
Talkin' it over, just the two of us
Workin' together day to day, together

And when the evening comes, we smile
So much of life ahead
We'll find a place where there's room to grow
And yes, we've just begun

Sharing horizons that are new to us
Watching the signs along the way
Talkin' it over, just the two of us
Workin' together day to day, together
And when the evening comes, we smile
So much of life ahead
We'll find a place where there's room to grow
And yes, we've just begun

(Flute and Piano)8Embed","This song was originally written for a 1968 Crocker Bank commercial. Aimed at young people just beginning their lives. Paul Williams describes the process:

“‘It had all the romantic beginnings of a bank commercial’ is the way I describe it. There was actually a wonderful writer named Tony Asher who wrote for this ad agency, and he’d had a skiing accident and he broke his arm, so he couldn’t write or play the piano or whatever. So he suggested Roger Nichols and I as replacements to write this ad. The ad agency called us and said, ""Look, we’re going to show a young couple getting married, driving off into the sunset, and it’s going to say, ‘You’ve got a long way to go, we’d like to help you get there to the Crocker Bank.’” And I went, Okay, what rhymes with Crocker? Crocker what? And they said very specifically, “No we don’t want a jingle.” What they asked for is what we would today call a music video. It was going to show a young couple getting married, driving off into the sunset. After the ceremony, the first kiss and all. So Roger and I wrote the song that would play over that.","August 21, 1970"
Carpenters,Rainy Days And Mondays,"Rainy Days And Mondays LyricsTalkin' to myself and feelin' old
Sometimes I'd like to quit, nothin' ever seems to fit
Hangin' around, nothin' to do but frown
Rainy days and Mondays always get me down
What I've got they used to call the blues
Nothin' is really wrong, feelin' like I don't belong
Walkin' around, some kind of lonely clown
Rainy days and Mondays always get me down
Funny, but it seems I always wind up here with you
Nice to know somebody loves me
Funny, but it seems that it's the only thing to do
Run and find the one who loves me
(The one who loves me)
What I feel has come and gone before
No need to talk it out (Talk it out)
We know what it's all about
Hangin' around (Hangin' around)
Nothin' to do but frown
Rainy days and Mondays always get me down
Funny but it seems that it's the only thing to do
(Only thing to do)
Run and find the one who loves me (Ooo)
What I feel has come and gone before
No need to talk it out (Talk it out)
We know what it's all about
Hangin' around (Hangin' around)
Nothin' to do but frown
Rainy days and Mondays always get me down
Hangin' around (Hangin' around)
Nothin' to do but frown
Rainy days and Mondays always get
Me down3Embed",?,"April 23, 1971"
Carpenters,You,"You LyricsYou are the one who makes me happy
When everything else turns to grey
Yours is the voice that wakes me mornings
And sends me out into the day
You are the crowd that sits quiet listening to me
And all the mad sense I make
You are one of the few things
Worth remembering
And since it's all true
How could anyone mean more to me than you?
Sorry if sometimes I look past you
There’s no one beyond your eyes
Inside my head the wheels are turning
And sometimes I'm not so wise
You are my heart and my soul, my inspiration
Just like the old love song goes
You are one of the few things
Worth remembering
And since it's all true
How could anyone mean more to me than you?
You are my heart and my soul, my inspiration
Just like the old love song goes
You are one of the few things
Worth remembering
And since it's all true
How could anyone mean more to me than you?Embed",?,"June 11, 1976"
artist,title,lyrics,description,release date
Cat Stevens,Father and Son,"Father and Son Lyrics
It's not time to make a change
Just relax, take it easy
You're still young, that's your fault
There's so much you have to know
Find a girl, settle down
If you want you can marry
Look at me
I am old, but I'm happy
I was once like you are now
And I know that it's not easy
To be calm
When you've found something going on
But take your time, think a lot
Why, think of everything you've got
For you will still be here tomorrow
But your dreams may not
How can I try to explain?
When I do, he turns away again
It's always been the same
Same old story
From the moment I could talk
I was ordered to listen
Now there's a way
And I know that I have to go away
I know, I have to go

It's not time to make a change (Away, away, away)
Just sit down, take it slowly
You're still young, that's your fault (I know)
There's so much you have to go through (I have to make this decision)
Find a girl, settle down (Alone)
If you want you can marry
Look at me (No)
I am old, but I'm happy

All the times that I've cried (Stay, stay, stay)
Keeping all the things I knew inside
It's hard
But it's harder to ignore it (Why must you go)
If they were right, I'd agree (And make this decision)
But it's them they know, not me (Alone)
Now there's a way
And I know that I have to go away
I know, I have to go32Embed","While it’s now one of Stevens' most famous songs, “Father and Son” was not a hit in the UK or US when released in 1970. It did, however, eventually chart in Italy and The Netherlands in late 1971.

In “Father and Son,” a father tries to calm—and keep—his wayward son, who feels that he has to start a new life for himself. Both parts are sung by Cat Stevens, with the son’s verses in a higher, more plaintive register. The father addresses the son directly, but the son soliloquizes, as though speaking to himself or to nobody at all.

Stevens has said of the song,

Some people think that I was taking the son’s side. But how could I have sung the father’s side if I couldn’t have understood it, too? I was listening to that song recently and I heard one line and realized that that was my father’s father’s father’s father’s father’s father’s father’s father speaking.

The song was first conceived of as part of a musical theater project that never materialized. It was originally meant to portray a father trying to convince his son not to go off to join the Russian Revolution.

“Father and Son” has been covered by several artists, the most notable being Boyzone in 1994 and Ronan Keating, who featured Yusef Islam in his version, in 2004, as both had major international chart success.  Recently it was introduced to new audiences in Marvel’s 2017 film *Guardians of the Galaxy Vol. 2.","November 23, 1970"
Cat Stevens,Wild World,"Wild World Lyrics
La-la-la-la-la-la-la-la, la, la
La-la-la-la-la-la-la-la, la, la
La-la-la-la-la-la-la-la, la, la-la, la

Now that I've lost everything to you
You say you wanna start something new
And it's breakin' my heart you're leavin'
Baby, I'm grievin'
But if you wanna leave, take good care
Hope you have a lot of nice things to wear
But then a lot of nice things turn bad out there

Oh, baby, baby, it's a wild world
It's hard to get by just upon a smile
Oh, baby, baby, it's a wild world
I'll always remember you like a child, girl

You know I've seen a lot of what the world can do
And it's breakin' my heart in two
Because I never wanna see you sad, girl
Don't be a bad girl
But if you wanna leave, take good care
Hope you make a lot of nice friends out there
But just remember there's a lot of bad and beware
Beware
Oh, baby, baby, it's a wild world
And it's hard to get by just upon a smile
Oh, baby, baby, it's a wild world
And I'll always remember you like a child, girl

...la-la-la-la-la-la-la, la, la
La-la-la-la-la-la-la-la la la-la, la
Baby, I love you
But if you wanna leave, take good care
Hope you make a lot of nice friends out there
But just remember there's a lot of bad and beware
Beware

Oh, baby, baby, it's a wild world
It's hard to get by just upon a smile
Oh, baby, baby, it's a wild world
And I'll always remember you like a child, girl
Oh, baby, baby, it's a wild world
And it's hard to get by just upon a smile
Oh, baby, baby, it's a wild world
And I'll always remember you like a child, girl23Embed","By 1970, Stevens' had reached the UK top 40 five times, but it wasn’t until early 1971 that “Wild World” gave Stevens his first US hit, reaching #11 that April. The song was not released as a single in the UK, but instead Jamaican singer Jimmy Cliff’s recording of the song (produced by Stevens himself) reached #8 there six months earlier.

While there is much speculation that Stevens wrote “Wild World” about his split with Patti D'Arbanville, he explained on The Chris Isaak Hour in 2009 that the actual inspiration for the song was his return to a career in music after nearly dying from a collapsed lung due to tuberculosis in 1969.

This would not be the first time Stevens has written a song that, on the surface, appears to be written about a girl while actually singing about himself. “Sad Lisa”, the German b-side to “Wild World” was also written about himself.

Taken literally, the lyrics seem to tell the story of a person speaking to a girl who has either grown up and is leaving her childhood home, or is ending a relationship and moving out.

Many artists have covered “Wild World” aside from Cliff. The most successful versions were by English reggae singer Maxi Priest (who took it into the top 30 in several countries) and the American rock band Mr. Big (who had a top 40 hit with it in over a dozen countries).","November 23, 1970"
Cat Stevens,The Wind,"The Wind LyricsI listen to the wind, to the wind of my soul
Where I’ll end up, well, I think only God really knows
I’ve sat upon the settin' sun
But never, never, never, never
I never wanted water once
No, never, never, never
I listen to my words, but they fall far below
I let my music take me where my heart wants to go
I've swam upon the devil’s lake
But never, never, never, never
I’ll never make the same mistake
No, never, never, never5Embed","At under two minutes, the opening track of Teaser and the Firecat is one of the shortest Stevens ever wrote.  It’s melodic, peaceful and thoughtful, and could be interpreted as a message to follow our own feelings, even if we find we’ve changed our minds over time.

In 1971, A Rolling Stone reviewer wrote:

“The Wind” is a model of economical songwriting, a far cry from the early pop songs in which Cat endlessly repeated the same trivial verse, padding it out with meaningless breaks. In less than two minutes, “The Wind” compresses Cat’s philosophy and a description of his working methods into a few mysterious images. The language is beautifully controlled, the melody is exquisite, the vocal is soulfully phrased, and the two guitars play in elegant counterpoint. A gem.","October 1, 1971"
Cat Stevens,Morning Has Broken,"Morning Has Broken LyricsMorning has broken like the first morning
Blackbird has spoken like the first bird
Praise for the singing, praise for the morning
Praise for them springing fresh from the Word
Sweet the rain's new fall, sunlit from Heaven
Like the first dew fall on the first grass
Praise for the sweetness of the wet garden
Sprung in completeness where His feet pass
Mine is the sunlight, mine is the morning
Born of the One Light Eden saw play
Praise with elation, praise every morning
God's recreation of the new day
Morning has broken like the first morning
Blackbird has spoken like the first bird
Praise for the singing, praise for the morning
Praise for them springing fresh from the Word1Embed","Originally a Scottish Christian hymn “Bunessan”
which had been found in L. McBean’s Songs And Hymns Of The Gael published in 1900, the tune was used as a Christmas carol.
In 1931, English poet and author Eleanor Farjeon was asked to make a poem to fit the tune.

“Morning Has Broken” appeared on Cat Stevens' Teaser And The Firecat album released October 1, 1971. Produced by ex-Yardbirds bassist Paul Samwell-Smith, the gospel song features a piano arrangement composed and performed by Rick Wakeman, a classically trained keyboardist well known from as a member of English prog-rockers Yes.

The single peaked at #6 on the Billboard Hot 100 and topped Billboard’s Adult Contemporary chart for a week in May of 1972.

In 2000, Wakeman in an interview on BBC Radio 5 Live said he had agreed to perform on the Cat Stevens track for £10 and was “shattered” that he was omitted from the credits, adding he never received the money either.
On his return to performance as Yusuf Islam, Stevens made a payment to Wakeman and apologized for the original non-payment, which arose from confusion and a misunderstanding on the record label’s part. On a documentary aired on British television Wakeman stated that he felt Stevens’s version of “Morning Has Broken” was a very beautiful piece of music that had brought people closer to religious truth. He expressed satisfaction in having contributed to this.","October 1, 1971"
Cat Stevens,Tea for the Tillerman,"Tea for the Tillerman LyricsBring tea for the Tillerman
Steak for the Sun
Wine for the woman who made the rain come
Seagulls sing your hearts away
’Cause while the sinners sin
The children play
Oh Lord, how they play and play
For that happy day
For that happy dayEmbed","Song by Cat Stevens, later made famous by being played during the credits of Ricky Gervais and Stephen Merchant’s TV show Extras","November 23, 1970"
Cat Stevens,Peace Train,"Peace Train Lyrics
Now I've been happy lately
Thinkin' about the good things to come
And I believe it could be
Something good has begun

Oh, I've been smilin' lately
Dreamin' about the world as one
And I believe it could be
Some day it's going to come

Cause out on the edge of darkness
There rides a peace train
Oh, peace train take this country
Come take me home again

Now, I've been smiling lately
Thinkin' about the good things to come
And I believe it could be
Something good has begun

Oh, peace train soundin' louder
Glide on the peace train
Ooh, ah, ee, ah, ooh, ah
Come on, now peace train
Yes, peace train holy roller
Everyone jump on the peace train
Ooh, ah, ee, ah, ooh, ah
Come on, now peace train
Get your bags together
Go bring your good friends, too
Because it's gettin' nearer
It soon will be with you

Now, come and join the livin'
It's not so far from you
And it's gettin' nearer
Soon it will all be true

Oh, peace train soundin' louder
Glide on the peace train
Ooh, ah, ee, ah, ooh, ah
Come on, now peace train
Peace train

Now, I've been cryin' lately
Thinkin' about the world as it is
Why must we go on hating?
Why can't we live in bliss?

Cause out on the edge of darkness
There rides a peace train
Oh, peace train take this country
Come take me home again
Oh, peace train soundin' louder
Glide on the peace train
Ooh, ah, ee, ah, ooh, ah
Come on, now peace train
Yes, peace train holy roller
Everyone jump on the peace train
Ooh, ah, ee, ah, ooh, ah

Come on, come on, come on
Yeah, come on, peace train
Yes, it's the peace train
Ooh, ah, ee, ah, ooh, ah
Come on, now peace train
Peace train
Ooh, ah, ee, ah, ooh, ah5Embed","Peace Train was a song written and sung by Cat Stevens and first released in 1971 on his album teaser and the Firecat. The song became #7 on the Billboard Hot 100 chart during the week of October 9, 1971, becoming Stevens' first US Top 10 hit.



The 1970s was near the end of Vietnam war ( the war ended in 1975) because of the many protests against the war during this time songs with messages of peace, like Peace Train, were common.
The song is a promotion of peace using the train as an analogy to encourage a sense of unity, we all should get on the “peace train”.","October 1, 1971"
Cat Stevens,Trouble,"Trouble LyricsTrouble
Oh trouble set me free
I have seen your face
And it’s too much too much for me
Trouble
Oh trouble can’t you see
You’re eating my heart away
And there’s nothing much left of me
I’ve drunk your wine
You have made your world mine
So won’t you be fair
So won’t you be fair
I don’t want no more of you
So won’t you be kind to me
Just let me go where
I’ll have to go there
Trouble
Oh trouble move away
I have seen your face
And it’s too much for me today
Trouble
Oh trouble can’t you see
You have made me a wreck
Now won’t you leave me in my misery
I’ve seen your eyes
And I can see death’s disguise
Hangin’ on me
Hangin’ on me
I’m beat, I’m torn
Shattered and tossed and worn
Too shocking to see
Too shocking to see
Trouble
Oh trouble move from me
I have paid my debt
Now won’t you leave me in my misery
Trouble
Oh trouble please be kind
I don’t want no fight
And I haven’t got a lot of timeEmbed","Trouble came out on his third album Mona Bone Jakon in 1970.

Stevens, considered a young teen sensation, was overwhelmed by a new lifestyle, as well as the demands of writing, recording, performing, publicity appearances, and touring. In the fall of 1968, he collapsed, with the diagnosis of tuberculosis and a collapsed lung.

Eddie Vedder of Pearl Jam performs a live version of the song.","April 24, 1970"
artist,title,lyrics,description,release date
Charlie Parker,Now’s the Time,"Now’s the Time LyricsWhy don't you come over 'bout a quarter to nine
Bring all of your fam'ly and I will bring mine
If I should bring my brothers, and you bring the others
Then I can sing a song like Jeru, just for you
Just for all the lovely people that you see in the road
We'll sing them a song in Jeruvian mode
If I can have a pref'rence, I'll even make ref'rence
To why you write a song like Jeru, just for you
Then if you'd be kind enough to tell me why you
Write these extended bridges
Can it be romance that always
Haunts me in my reverie?
So why not come on over 'bout a quarter to eight
If you can come early I'll never be late
And now you're all invited, I hope you're delighted
To sing a little song like Jeru, just for you
Just for me too
Gather around, tale to be told
Maybe it's new, maybe it's old, listen my friend
Blowin' away, doin' alright
Plain' all day, workin' all night, listen again
Movin' along, coverin' ground
Singin' the song, lovin' the sound, listen and then
Blow together birds of a feather
Out playin' the blues and ""I Got Rhythm""
All at once a moment came without a warning
Got so hot we had to cool it
Go for glory, tell you the story
Out payin' our dues until we found we were
Assisting at an unexpected borning
'twas the birth of the Cool
So now I can tell you why I'm always
Trying to tell you, listen, come with me
New York, and we're together in my reverie
So why don't you come over 'bout a quarter to two
Forget all the others, just me and just you
And while we're versifying
We'd better start trying
To write another song just for me
Just for you, one more JeruEmbed","“Now’s the Time” is a riff-based blues, with typical bebop phrase endings at the end of bars 5 and 6. “Now’s the Time” was first recorded on November 26, 1945, by Charlie Parker’s Re-Boppers, featuring Miles Davis, Max Roach, Dizzy Gillespie, Curley Russell and Sadik Hakim. The melody of “Now’s the Time” was used for “The Hucklebuck”, a hit for saxophonist Paul Williams four years after Parker’s original recording. Despite being released by the same record label with the same producer, Parker was not credited; instead, the composition was attributed to Andy Gibson.",1945
Charlie Parker,Donna Lee,,?,
Charlie Parker,My Little Suede Shoes,"My Little Suede Shoes LyricsRolling Stones
Out Of Our Heads
(I Can't Get No) Satisfaction
I can't get no satisfaction
I can't get no satisfaction
'Cause I try and I try and I try and I try
I can't get no, I can't get no
When I'm drivin' in my car
And that man comes on the radio
He's tellin' me more and more
About some useless information
Supposed to fire my imagination
I can't get no, oh no no no
Hey hey hey, that's what I say
I can't get no satisfaction
I can't get no satisfaction
'Cause I try and I try and I try and I try
I can't get no, I can't get no
When I'm watchin' my TV
And that man comes on to tell me
How white my shirts can be
But he can't be a man 'cause he doesn't smoke
The same cigarrettes as me
I can't get no, oh no no no
Hey hey hey, that's what I say
I can't get no satisfaction
I can't get no girl reaction
'Cause I try and I try and I try and I try
I can't get no, I can't get no
When I'm ridin' round the world
And I'm doin' this and I'm signing that
And I'm tryin' to make some girl
Who tells me baby better come back later next week
'Cause you see I'm on losing streak
I can't get no, oh no no no
Hey hey hey, that's what I say
I can't get no, I can't get no
I can't get no satisfaction
No satisfaction, no satisfaction, no satisfactionEmbed",?,
Charlie Parker,Bebop,"Bebop LyricsWe at the Downtown Cabinay, right across the street from the Coca Cobana
We have the midnight roof special going on
We have Choco on the wheels of steel
Slow it down for a minute Choco
Yo, Zig Zag on the M.I.C
We givin' a special tribute to Charlie Parker, here tonight
The midnight rooftop special
We gon' bring it like this, I want all ladies
Who came with their men, come on in
Get into sweety, and drink all night
Bebop, we walk with our hats on tilt
Pink and white silk, made of shoes on stilts
Dressed as the morning milk, plus, like the quilt
When we rock at the club, no blood got spilt
Where dime piece wizes, had they legs in the air
From being sprung by the swings, so they legs in the air
Long dresses, and they silk brassiere
Ya'll unloosen the twist, Rob came in the air
I rock the bebop, the bebop, the bebop
The bud-bud-a-budda-bidda bebop, bebop, somebody don't bopped bopped
I rock the bebop, the bebop, the bebop
The bud-bud-a-budda-bidda bebop, bebop, somebody don't bopped bopped
I rock the bebop, the bebop, the bebop
The bud-bud-a-budda-bidda bebop, bebop, somebody don't bopped bopped
I rock the bebop, the bebop, the bebop
The bud-bud-a-budda-bidda bebop, bebop, somebody don't bopped bopped
The saxophone doctor can blow on any octave
Performance, of some of the world's greatest jazz rocker
From bebop to hip hop, back to bebop
Charlie Parker lids blow hot like boiling tea pot
From pull to press, not white and up tight
To blowin' horns, to walking with the bass up right
To having our crowns polished, and our face up right
To clean our neighborhood's and I play somethin' right
I rock the bebop, the bebop, the bebop
The bud-bud-a-budda-bidda bebop, bebop, somebody don't bopped bopped
I rock the bebop, the bebop, the bebop
The bud-bud-a-budda-bidda bebop, bebop, somebody don't bopped bopped
I rock the bebop, the bebop, the bebop
The bud-bud-a-budda-bidda bebop, bebop, somebody don't bopped bopped
I rock the bebop, the bebop, the bebop
The bud-bud-a-budda-bidda bebop, bebop, somebody don't bopped bopped
So we still groovin' wit it
Keepin' the flow poppin' here
We gon' turn the lights down a little low
Just hide the identity, yo, yo
The saxophone doctor can blow on any octave
Performance, of some of the world's greatest jazz rocker
From bebop to hip hop, back to bebop
Charlie Parker lids blow hot like boiling tea pot
From pull to press, not white and up tight
To blowin' horns, to walking with the bass up right
To having our crowns polished, and our face up right
To clean our neighborhood's and I play somethin' right
I rock the bebop, the bebop, the bebop
The bud-bud-a-budda-bidda bebop, bebop, somebody don't bopped bopped
I rock the bebop, the bebop, the bebop
The bud-bud-a-budda-bidda bebop, bebop, somebody don't bopped bopped
I rock the bebop, the bebop, the bebop
The bud-bud-a-budda-bidda bebop, bebop, somebody don't bopped bopped
I rock the bebop, the bebop, the bebop
The bud-bud-a-budda-bidda bebop, bebop, somebody don't bopped bopped
Bebop hehehehe
Take it back, heh
Bebop
BebopEmbed",?,
Charlie Parker,Laura,"Laura LyricsYou know the feeling of something half remembered
Of something that never happened, yet you recall it well
You know the feeling of recognizing someone
That you've never met as far as you could tell, well
Laura is the face in the misty light
Footsteps that you hear down the hall
The laugh that floats on a summer night
That you can never quite recall
And you see Laura on the train that is passing through
Those eyes, how familiar they seem
She gave your very first kiss to you
That was Laura but she's only a dreamEmbed",?,1950
Charlie Parker,Billie’s Bounce,,"“Billie’s Bounce” is a jazz composition written in 1945 in the form of a 12 bar F blues that was dedicated to Billy Shaw. The original recording by Charlie Parker and His Re-Boppers off his 1956 album The Charlie Parker Story was inducted into the Grammy Hall of Fame in 2002. Originally an instrumental, lyrics were added later by Jon Hendricks and by Eddie Jefferson. The track has been renditioned by countless artists including Ella Fitzgerald, Dexter Gordon, Wes Montgomery and many others.",1945
Charlie Parker,All the Things You Are,,?,
artist,title,lyrics,description,release date
Cheap Trick,I Want You to Want Me,"I Want You to Want Me Lyrics
I want you to want me
I need you to need me
I'd love you to love me
I'm beggin' you to beg me

I want you to want me
I need you to need me
I'd love you to love me

I'll shine up the old brown shoes, put on a brand-new shirt
I'll get home early from work if you say that you love me

Didn't I, didn't I, didn't I see you cryin'?
Oh, didn't I, didn't I, didn't I see you cryin'?
Feelin' all alone without a friend, you know you feel like dyin'
Oh, didn't I, didn't I, didn't I see you cryin'?

I want you to want me
I need you to need me
I'd love you to love me
I'm beggin' you to beg me
I'll shine up the old brown shoes, put on a brand-new shirt
I'll get home early from work if you say that you love me

Didn't I, didn't I, didn't I see you cryin'?
Oh, didn't I, didn't I, didn't I see you cryin'?
Feelin' all alone without a friend, you know you feel like dyin'
Oh, didn't I, didn't I, didn't I see you cryin'?


Feelin' all alone without a friend, you know you feel like dyin'
Oh, didn't I, didn't I, didn't I see you cryin'?


I want you to want me
I need you to need me
I'd love you to love me
I'm beggin' you to beg me13Embed",The version off of Live at the Boudokan is the most requested due to its faster tempo than the album version.,September 1977
Cheap Trick,Surrender,"Surrender Lyrics

Mother told me, yes, she told me
I'd meet girls like you
She also told me, ""Stay away
You'll never know what you'll catch""
Just the other day I heard
Of a soldier's falling off
Some Indonesian junk
That's going 'round

Mommy's alright
Daddy's alright
They just seem a little weird
Surrender
Surrender
But don't give yourself away
Hey, hey

Father says, ""Your mother's right
She's really up on things
Before we married, Mommy served
In the WACS in the Philippines”
Now, I had heard the WACs recruited
Old maids for the war
But mommy isn't one of those
I've known her all these years
Mommy's alright
Daddy's alright
They just seem a little weird
Surrender
Surrender
But don't give yourself away
Hey, hey

Whatever happened to all this season's
Losers of the year?
Every time I got to thinking
Where'd they disappear?
But when I woke up, Mom and Dad
Are rolling on the couch
Rolling numbers, rock and rollin'
Got my KISS records out

Mommy's alright
Daddy's alright
They just seem a little weird
Surrender
Surrender
But don't give yourself away
Hey, hey
Away
Away
Surrender (Mommy's all right)
Surrender (Daddy's all right)
But don't give yourself away
Surrender (Mommy's all right)
Surrender (Daddy's all right)
But don't give yourself away
Surrender (Mommy's all right)
Surrender (Daddy's all right)
But don't give yourself away
Surrender (Bun E.’s alright)
Surrender (Tommy’s alright)
But don't give yourself away (Robin’s alright, Rick’s alright)
Surrender (We’re all alright)
Surrender (We’re all alright)
But don't give yourself away (We’re all alright, We’re all alright)
Surrender (Mommy's all right)
Surrender (Daddy's all right)
But don't give yourself away
Surrender (Mommy's all right)
Surrender (Daddy's all right)
But don't give yourself away11Embed",?,June 1978
Cheap Trick,The Flame,"The Flame Lyrics
Another night slowly closes in
And I feel so lonely
Touching heat freezing on my skin
I pretend you still hold me
I'm going crazy, I'm losing sleep
I'm in too far, I'm in way too deep over you
I can't believe you're gone
You were the first, you'll be the last

Wherever you go, I'll be with you
Whatever you want, I'll give it to you
Whenever you need someone
To lay your heart and head upon
Remember, after the fire, after all the rain
I will be the flame
I will be the flame

Watching shadows move across the wall
I feel so frightened
I wanna run to you, I wanna call
But I've been hit by lightning
Just can't stand up for fallin' apart
Can't see through this veil across my heart, over you
You'll always be the one
You were the first, you'll be the last
Wherever you go, I'll be with you
Whatever you want, I'll give it to you
Whenever you need someone
To lay your heart and head upon
Remember after the fire, after all the rain
I will be the flame
I will be the flame

I'm going crazy, I'm losing sleep
I'm in too far, I'm in way too deep over you
You'll always be the one
You were the first, you'll be the last

Wherever you go, I'll be with you
Whatever you want, I'll give it to you
Whenever you need someone
To lay your heart and head upon
Remember, after the fire, after all the rain
I will be the flame
I will be the flame

Whatever you want, I'll give it to you
Wherever you go, I'll be with you
And whatever you want, I'll give it to you
Oh! Whatever you want, I'll give it to you1Embed","In an interview by Gerry Galipault (of Pause & Play), Bun E. Carlos explained the origin of the song, unusual for Cheap Trick being written by professional songwriters as opposed to being written or co-written by their guitarist Rick Nielsen.

Tom rejoined (in 1988), and then the vice president at Epic told us he had these two songs and they’re both gonna be No. 1. He goes, ‘We got one for you and one for the group Chicago, but you can have first choice.’ He said, ‘I think the one ‘The Flame’ would be good for you guys.’ The other one was ‘Look Away’, and it sounded like some girl singing on the demo. We really didn’t like that song anyway, so ‘Sure, we’ll do ‘The Flame.’ We’re game.’

The song focuses on the first love of the narrator. The narrator can’t seem to move on after their first love and still carries a torch (i.e. the “flame” referenced in the chorus and title of the song) for their former partner, despite that love being unrequited.",March 1988
Cheap Trick,That ’70s Song (In the Street),"That ’70s Song (In the Street) LyricsHangin' out down the street
The same old thing we did last week
Not a thing to do but talk to you
Not a thing to do out in the street
Oh yeah!
Mom and dad live upstairs
The music's loud so we don't care
Nixon's gone but Rock lives on
Hell yeah
We're still rockin' in Wisconsin
We're all alright!
We're all alright!
Yeah!
Oh!
I'll steal a car and drive on down
Pick you up and we'll drive around
Not a thing to do but talk to you
Not a thing to do
Oh yeah
We're still rockin in Wisconsin
We're all alright!
We're all alright!
Yeah!
Oh yeah!
Oh yeah!
Woo-o-o-o!
Hello Wisconsin!1Embed","This Big Star 1972 power pop classic was relatively unknown before its use as the theme song for the popular sitcom “That ‘70s Show” (August 23, 1998 – May 18, 2006).

Performed by Todd Griffin during the first season and updated for the ensuing seasons by Cheap Trick’s definitive version complete with added lyrics.",1999
